id,status,upvotes,fetched_at
1rw4uwc,skipped_low_upvotes,4,2026-04-22T11:28:44.389842+00:00
15b3jfl,skipped_no_art_or_cover,83,2026-04-25T12:18:09.133408+00:00
111iipu,queued,57,2026-04-25T11:54:30.976999+00:00
1rpvp5f,skipped_low_upvotes,4,2026-04-22T11:29:39.764215+00:00
13xlgf5,queued,49,2026-04-25T12:10:51.330851+00:00
10vevpt,skipped_no_art_or_cover,173,2026-04-25T11:54:05.892413+00:00
15b4r97,queued,25,2026-04-25T12:18:17.484911+00:00
112tq4e,skipped_no_art_or_cover,17,2026-04-25T11:54:47.646126+00:00
1ei8mvh,queued,58,2026-04-25T12:27:07.810388+00:00
1rjniuk,queued,75,2026-04-22T11:30:39.170717+00:00
1rjxz8t,queued,13,2026-04-22T11:30:33.937043+00:00
1rd5jig,queued,8,2026-04-24T04:01:19.519349+00:00
1sry3zy,queued,40,2026-04-22T10:43:38.617602+00:00
1rzkkom,queued,101,2026-04-22T11:27:52.044020+00:00
15rp893,queued,53,2026-04-25T12:20:40.811498+00:00
1s4we31,queued,17,2026-04-22T11:26:52.613729+00:00
13yfxrj,skipped_no_art_or_cover,16,2026-04-25T12:10:59.645114+00:00
1s2t31n,queued,68,2026-04-22T11:27:13.755254+00:00
1dxm497,skipped_no_art_or_cover,33,2026-04-25T12:24:53.756015+00:00
132hh4d,skipped_no_art_or_cover,35,2026-04-25T12:05:04.413446+00:00
11zfsxu,skipped_no_art_or_cover,94,2026-04-25T11:59:16.362646+00:00
1rhxzw6,queued,10,2026-04-22T11:31:05.515401+00:00
12cs5hc,queued,61,2026-04-25T12:02:05.615267+00:00
11eodii,queued,14,2026-04-25T11:56:02.642278+00:00
13a3wzj,skipped_no_art_or_cover,38,2026-04-25T12:06:46.390300+00:00
15m84do,skipped_no_art_or_cover,28,2026-04-25T12:20:32.380239+00:00
15sdw8i,queued,39,2026-04-25T12:21:23.045890+00:00
13lae8m,queued,74,2026-04-25T12:08:11.064541+00:00
1stjfef,queued,35,2026-04-24T03:45:52.910596+00:00
1rwrjhn,queued,21,2026-04-22T11:28:29.947326+00:00
1sswn51,queued,9,2026-04-24T03:46:02.518468+00:00
1so93rc,queued,7,2026-04-22T10:57:27.173458+00:00
150bz36,queued,36,2026-04-25T12:15:37.010658+00:00
1rcm5eg,queued,55,2026-04-24T04:01:24.390731+00:00
1eawvpo,skipped_no_art_or_cover,15,2026-04-25T12:26:59.408037+00:00
1se63be,queued,26,2026-04-22T10:59:18.370297+00:00
1rw7hz3,queued,10,2026-04-22T11:28:42.070208+00:00
117gzo7,skipped_no_art_or_cover,36,2026-04-25T11:55:37.634292+00:00
1549hej,queued,56,2026-04-25T12:16:44.640257+00:00
12ikp8w,queued,113,2026-04-25T12:02:40.111743+00:00
1ri1ey1,queued,5,2026-04-22T11:31:03.170804+00:00
12pwu0v,skipped_no_art_or_cover,18,2026-04-25T12:03:39.554807+00:00
18j8kwz,skipped_no_art_or_cover,17,2026-04-25T12:22:30.833916+00:00
1sf9j0q,queued,17,2026-04-22T10:58:59.128023+00:00
1dzdnvj,skipped_no_art_or_cover,113,2026-04-25T12:25:35.628061+00:00
15lhkt1,queued,133,2026-04-25T12:20:24.069229+00:00
1rk0mae,queued,5,2026-04-22T11:30:31.626783+00:00
13sbxr0,skipped_no_art_or_cover,151,2026-04-25T12:09:18.137734+00:00
1spsxg1,skipped_low_upvotes,0,2026-04-22T10:57:15.348506+00:00
1s6tdqq,queued,11,2026-04-22T11:26:47.989930+00:00
13wmjm9,skipped_no_art_or_cover,17,2026-04-25T12:10:25.592121+00:00
10cm57g,queued,209,2026-04-25T11:51:51.011095+00:00
1s69gtw,queued,5,2026-04-22T11:26:50.292608+00:00
11woi4g,queued,52,2026-04-25T11:58:51.049386+00:00
1hb2tpg,queued,124,2026-04-25T12:33:18.987330+00:00
1sewpr6,queued,21,2026-04-22T10:59:06.194871+00:00
1s2ozp0,queued,5,2026-04-22T11:27:18.402167+00:00
1593bqw,skipped_no_art_or_cover,72,2026-04-25T12:17:26.901616+00:00
10f78b8,queued,47,2026-04-25T11:52:07.858657+00:00
12g8ted,skipped_no_art_or_cover,41,2026-04-25T12:02:23.003241+00:00
1sq09eo,queued,36,2026-04-22T10:57:10.350661+00:00
10folji,skipped_no_art_or_cover,77,2026-04-25T11:52:16.244163+00:00
1s1ncg7,queued,60,2026-04-22T11:27:39.588582+00:00
1rupcjz,queued,49,2026-04-22T11:28:56.959573+00:00
1s9jvlo,queued,8,2026-04-22T11:00:02.383014+00:00
13ej9ba,skipped_no_art_or_cover,11,2026-04-25T12:07:28.267101+00:00
1r6b41m,queued,12,2026-04-24T04:02:12.654330+00:00
1rlg5of,queued,15,2026-04-22T11:30:22.238901+00:00
1rw84f4,queued,67,2026-04-22T11:28:37.325655+00:00
1rxkl4v,queued,277,2026-04-22T11:28:15.771870+00:00
1rxdcfl,skipped_low_upvotes,2,2026-04-22T11:28:20.550488+00:00
1sr2kml,queued,6,2026-04-22T10:57:00.962116+00:00
1j3ah13,queued,39,2026-04-25T12:34:50.917891+00:00
13dr8xr,skipped_no_art_or_cover,114,2026-04-25T12:07:11.549184+00:00
1s2ek0h,queued,18,2026-04-22T11:27:25.358837+00:00
1545vii,skipped_no_art_or_cover,39,2026-04-25T12:16:36.218071+00:00
14zrbr3,skipped_no_art_or_cover,12,2026-04-25T12:15:20.338884+00:00
1rdnvvx,queued,66,2026-04-24T04:01:12.411466+00:00
1sa2bju,queued,102,2026-04-22T10:59:50.591868+00:00
14b28m3,skipped_no_art_or_cover,119,2026-04-25T12:11:59.180448+00:00
1r6gcr1,skipped_low_upvotes,4,2026-04-24T04:02:05.469865+00:00
11r695l,queued,129,2026-04-25T11:58:00.159622+00:00
13906q6,skipped_no_art_or_cover,153,2026-04-25T12:06:12.736976+00:00
13o8kf5,queued,26,2026-04-25T12:08:19.395886+00:00
1s2bhqe,queued,31,2026-04-22T11:27:32.397627+00:00
1rmxo3l,queued,7,2026-04-22T11:30:03.009185+00:00
14psruo,queued,39,2026-04-25T12:14:29.950491+00:00
13vq9lm,queued,60,2026-04-25T12:09:52.152331+00:00
1ry0w7m,queued,67,2026-04-22T11:28:08.513674+00:00
1r6bxs2,skipped_low_upvotes,1,2026-04-24T04:02:10.345706+00:00
14koxjj,skipped_no_art_or_cover,50,2026-04-25T12:13:39.591141+00:00
1s2d00t,queued,59,2026-04-22T11:27:30.077655+00:00
1sch33c,queued,74,2026-04-22T10:59:30.321403+00:00
1032ikw,queued,92,2026-04-25T11:50:59.921945+00:00
1ryy24w,skipped_low_upvotes,1,2026-04-22T11:28:01.462059+00:00
14e2jj9,skipped_no_art_or_cover,25,2026-04-25T12:12:32.618346+00:00
153v1df,skipped_no_art_or_cover,199,2026-04-25T12:16:27.854252+00:00
1s3czi1,queued,33,2026-04-22T11:27:08.956079+00:00
13yg5qj,skipped_no_art_or_cover,30,2026-04-25T12:11:07.959885+00:00
1fop61c,skipped_no_art_or_cover,16,2026-04-25T12:29:55.738575+00:00
111uxfu,skipped_no_art_or_cover,15,2026-04-25T11:54:39.324977+00:00
154hfc2,skipped_no_art_or_cover,63,2026-04-25T12:16:53.458830+00:00
13idq85,queued,149,2026-04-25T12:07:45.731268+00:00
1j2hnzq,queued,193,2026-04-25T12:34:42.559352+00:00
10gdymd,queued,252,2026-04-25T11:52:25.178189+00:00
116jc91,skipped_no_art_or_cover,10,2026-04-25T11:55:29.220548+00:00
1rrfbpn,queued,35,2026-04-22T11:29:13.418045+00:00
1ro48ky,skipped_low_upvotes,2,2026-04-22T11:29:55.994611+00:00
1sg0m34,queued,17,2026-04-22T10:58:53.367983+00:00
1rxyeut,queued,106,2026-04-22T11:28:13.277801+00:00
1srmvlx,queued,11,2026-04-22T10:43:48.286313+00:00
1s2oyu3,queued,5,2026-04-22T11:27:20.696745+00:00
1i1xhot,queued,16,2026-04-25T12:34:25.819593+00:00
1rmblka,queued,42,2026-04-22T11:30:10.526077+00:00
12jmqrd,skipped_no_art_or_cover,249,2026-04-25T12:02:48.624850+00:00
1rh5g7i,skipped_low_upvotes,1,2026-04-24T04:00:50.773207+00:00
1rwczoq,queued,86,2026-04-22T11:28:32.627113+00:00
1gadw98,queued,23,2026-04-25T12:32:53.831802+00:00
1frhvfk,queued,80,2026-04-25T12:31:12.233194+00:00
11he590,skipped_no_art_or_cover,19,2026-04-25T11:56:44.439032+00:00
1rlxcrx,queued,5,2026-04-22T11:30:12.818562+00:00
1986ieh,queued,102,2026-04-25T12:22:56.130692+00:00
1r5kx6g,skipped_low_upvotes,4,2026-04-24T04:02:19.665607+00:00
11ufs6s,queued,21,2026-04-25T11:58:33.585129+00:00
1reenva,queued,34,2026-04-24T04:01:00.336070+00:00
1frhz5m,skipped_no_art_or_cover,62,2026-04-25T12:31:20.602837+00:00
1r87pxd,queued,6,2026-04-24T04:01:48.790006+00:00
12yokli,queued,96,2026-04-25T12:04:56.097545+00:00
1dz4vij,queued,116,2026-04-25T12:25:18.916940+00:00
13ds1df,skipped_no_art_or_cover,95,2026-04-25T12:07:19.945106+00:00
1sbokpj,queued,27,2026-04-22T10:59:35.934042+00:00
1e5hf18,skipped_no_art_or_cover,18,2026-04-25T12:26:42.656371+00:00
11fesxc,queued,15,2026-04-25T11:56:19.323283+00:00
14eac6u,skipped_no_art_or_cover,106,2026-04-25T12:12:41.038531+00:00
1rctgod,queued,28,2026-04-24T04:01:21.896246+00:00
1ssmh8y,queued,108,2026-04-24T03:46:04.894129+00:00
1sl6ep3,queued,27,2026-04-22T10:58:14.306308+00:00
1rdxbmq,queued,191,2026-04-24T04:01:07.623834+00:00
11ylqrd,skipped_no_art_or_cover,48,2026-04-25T11:59:07.789409+00:00
1sjysj6,skipped_low_upvotes,1,2026-04-22T10:58:21.730251+00:00
14j6xqw,skipped_no_art_or_cover,27,2026-04-25T12:13:22.850010+00:00
14kl7mr,skipped_no_art_or_cover,85,2026-04-25T12:13:31.236266+00:00
1sedonq,queued,6,2026-04-22T10:59:13.664573+00:00
1rvjenv,queued,21,2026-04-22T11:28:49.044586+00:00
1sk98x2,queued,13,2026-04-22T10:58:16.651201+00:00
1squpt3,queued,41,2026-04-22T10:57:03.334071+00:00
14o5iaa,queued,50,2026-04-25T12:14:21.610206+00:00
1refjfb,queued,39,2026-04-24T04:00:57.949328+00:00
1ac3p5f,skipped_no_art_or_cover,12,2026-04-25T12:23:12.729756+00:00
1smdp7k,queued,328,2026-04-22T10:57:57.872262+00:00
13wcchz,skipped_no_art_or_cover,19,2026-04-25T12:10:08.869268+00:00
1e2cl35,skipped_no_art_or_cover,23,2026-04-25T12:26:25.990764+00:00
1huynwp,skipped_no_art_or_cover,17,2026-04-25T12:34:00.739964+00:00
1r9yu2m,queued,94,2026-04-24T04:01:34.425197+00:00
1ribr0l,queued,36,2026-04-22T11:30:53.800673+00:00
13voa9f,skipped_no_art_or_cover,118,2026-04-25T12:09:43.741223+00:00
1rz0pi3,queued,18,2026-04-22T11:27:59.150294+00:00
12qzfwi,queued,159,2026-04-25T12:03:56.952860+00:00
1smeqpy,queued,92,2026-04-22T10:57:53.202022+00:00
1c2c6z0,queued,21,2026-04-25T12:24:03.220563+00:00
14zzs3h,queued,17,2026-04-25T12:15:28.657674+00:00
137lwvb,skipped_no_art_or_cover,200,2026-04-25T12:05:55.726613+00:00
12dk720,queued,267,2026-04-25T12:02:14.564885+00:00
1r82lga,queued,9,2026-04-24T04:01:53.724320+00:00
1fm0fou,queued,15,2026-04-25T12:29:22.410480+00:00
15k0kv1,skipped_no_art_or_cover,24,2026-04-25T12:19:58.584734+00:00
198shr5,queued,20,2026-04-25T12:23:04.436404+00:00
15b9ga3,queued,42,2026-04-25T12:18:25.837666+00:00
10p2el6,skipped_no_art_or_cover,27,2026-04-25T11:53:15.397827+00:00
11swixu,queued,26,2026-04-25T11:58:25.236806+00:00
12lwi2k,queued,161,2026-04-25T12:03:06.190795+00:00
139bu05,skipped_no_art_or_cover,63,2026-04-25T12:06:21.082712+00:00
1e1kdcx,queued,82,2026-04-25T12:26:09.203064+00:00
