id,status,upvotes,fetched_at
1ry07kt,queued,39,2026-04-22T11:28:10.882810+00:00
1rpxzr4,queued,131,2026-04-22T11:29:35.137937+00:00
1rwxn8k,queued,120,2026-04-22T11:28:27.621658+00:00
1sgr7we,queued,10,2026-04-22T10:58:44.015699+00:00
1sai0fq,queued,65,2026-04-22T10:59:48.118068+00:00
1rjxz8t,queued,13,2026-04-22T11:30:33.937043+00:00
1s45fgp,queued,67,2026-04-22T11:26:59.642252+00:00
1son9vy,skipped_low_upvotes,0,2026-04-22T10:57:22.537054+00:00
1rpyei4,skipped_low_upvotes,0,2026-04-22T11:29:32.762465+00:00
1s2ek0h,queued,18,2026-04-22T11:27:25.358837+00:00
1rxbxa5,queued,102,2026-04-22T11:28:25.187264+00:00
1sgpz9k,queued,14,2026-04-22T10:58:46.336814+00:00
1rog193,queued,24,2026-04-22T11:29:49.105512+00:00
1ri1ey1,queued,5,2026-04-22T11:31:03.170804+00:00
1s2ozp0,queued,5,2026-04-22T11:27:18.402167+00:00
1sb3nwa,skipped_low_upvotes,1,2026-04-22T10:59:41.105284+00:00
1sn63nh,queued,107,2026-04-22T10:57:43.786038+00:00
1s4ezj0,queued,27,2026-04-22T11:26:54.926291+00:00
1rp075x,queued,38,2026-04-22T11:29:46.749709+00:00
1so3dvu,queued,54,2026-04-22T10:57:31.981007+00:00
1s9p09u,queued,19,2026-04-22T10:59:55.275060+00:00
1sho4iu,skipped_low_upvotes,3,2026-04-22T10:58:31.496522+00:00
1rquf0z,queued,8,2026-04-22T11:29:18.173224+00:00
1sda6eb,skipped_low_upvotes,0,2026-04-22T10:59:27.914457+00:00
1sedonq,queued,6,2026-04-22T10:59:13.664573+00:00
1rxdcfl,skipped_low_upvotes,2,2026-04-22T11:28:20.550488+00:00
1rxcnsz,queued,10,2026-04-22T11:28:22.862238+00:00
1sn793m,queued,6,2026-04-22T10:57:41.389883+00:00
1rzsq1x,skipped_low_upvotes,0,2026-04-22T11:27:49.517775+00:00
1s2d00t,queued,59,2026-04-22T11:27:30.077655+00:00
1sdzq5b,queued,137,2026-04-22T10:59:25.537277+00:00
1srm1jf,queued,30,2026-04-22T10:43:50.616880+00:00
1rvjenv,queued,21,2026-04-22T11:28:49.044586+00:00
1s3t0ud,queued,29,2026-04-22T11:27:04.316931+00:00
1sl9u2o,queued,8,2026-04-22T10:58:11.927297+00:00
1s7ufsh,queued,14,2026-04-22T11:26:43.330714+00:00
1rmblka,queued,42,2026-04-22T11:30:10.526077+00:00
1rsmq6o,skipped_low_upvotes,0,2026-04-22T11:29:06.297893+00:00
1se5348,queued,17,2026-04-22T10:59:20.706875+00:00
1rq65is,queued,28,2026-04-22T11:29:27.953230+00:00
1so93rc,queued,7,2026-04-22T10:57:27.173458+00:00
1rwbfxl,queued,9,2026-04-22T11:28:34.978552+00:00
1smeqpy,queued,92,2026-04-22T10:57:53.202022+00:00
1rtlcvt,queued,19,2026-04-22T11:29:03.996245+00:00
1rxj7yn,queued,17,2026-04-22T11:28:18.211123+00:00
1rpxg2c,queued,40,2026-04-22T11:29:37.476855+00:00
1s1w7kf,queued,5,2026-04-22T11:27:37.148360+00:00
1rxyeut,queued,106,2026-04-22T11:28:13.277801+00:00
1ry0w7m,queued,67,2026-04-22T11:28:08.513674+00:00
1riyalq,queued,112,2026-04-22T11:30:41.695122+00:00
1spyyox,queued,13,2026-04-22T10:57:12.650309+00:00
1si3cpt,queued,24,2026-04-22T10:58:26.821470+00:00
1s2bhqe,queued,31,2026-04-22T11:27:32.397627+00:00
1sl6ep3,queued,27,2026-04-22T10:58:14.306308+00:00
1ri37yw,skipped_low_upvotes,3,2026-04-22T11:31:00.899697+00:00
1rvbm0l,queued,324,2026-04-22T11:28:54.587924+00:00
1s2ao00,queued,32,2026-04-22T11:27:34.751656+00:00
1ri4zjm,skipped_low_upvotes,0,2026-04-22T11:30:58.486302+00:00
1s1ncg7,queued,60,2026-04-22T11:27:39.588582+00:00
1s725fl,queued,6,2026-04-22T11:26:45.670861+00:00
1shnk5r,queued,5,2026-04-22T10:58:33.814657+00:00
1sf9j0q,queued,17,2026-04-22T10:58:59.128023+00:00
1setzs5,queued,44,2026-04-22T10:59:08.534441+00:00
1rw84f4,queued,67,2026-04-22T11:28:37.325655+00:00
1riuna9,queued,62,2026-04-22T11:30:44.053899+00:00
1s95knh,queued,116,2026-04-22T11:00:08.326106+00:00
1rir2fs,queued,22,2026-04-22T11:30:48.754257+00:00
1rqyj2l,queued,19,2026-04-22T11:29:15.861253+00:00
1roaoom,queued,5,2026-04-22T11:29:53.707990+00:00
1sg0m34,queued,17,2026-04-22T10:58:53.367983+00:00
1so2eve,queued,39,2026-04-22T10:57:34.365199+00:00
1rupcjz,queued,49,2026-04-22T11:28:56.959573+00:00
1sq453e,skipped_low_upvotes,0,2026-04-22T10:57:07.973317+00:00
1s9m7dv,queued,14,2026-04-22T10:59:59.965207+00:00
1s2e8oz,queued,6,2026-04-22T11:27:27.730921+00:00
1spsxg1,skipped_low_upvotes,0,2026-04-22T10:57:15.348506+00:00
1s2oyu3,queued,5,2026-04-22T11:27:20.696745+00:00
1s8okr7,queued,10,2026-04-22T11:26:38.649362+00:00
1rudtrb,skipped_low_upvotes,3,2026-04-22T11:28:59.307654+00:00
1rrs7v6,queued,94,2026-04-22T11:29:11.039779+00:00
1rw4uwc,skipped_low_upvotes,4,2026-04-22T11:28:44.389842+00:00
1rlitzn,queued,7,2026-04-22T11:30:19.918849+00:00
1sk7o8d,queued,32,2026-04-22T10:58:19.433674+00:00
1sn20sc,queued,21,2026-04-22T10:57:48.515024+00:00
1seybwn,queued,18,2026-04-22T10:59:01.429089+00:00
1rkvbqs,skipped_low_upvotes,0,2026-04-22T11:30:26.906218+00:00
1sgm69a,queued,24,2026-04-22T10:58:48.688983+00:00
1ris1j8,queued,33,2026-04-22T11:30:46.427362+00:00
1sr2kml,queued,6,2026-04-22T10:57:00.962116+00:00
1s6tdqq,queued,11,2026-04-22T11:26:47.989930+00:00
1sb2nzr,queued,16,2026-04-22T10:59:43.405865+00:00
1seaqel,queued,8,2026-04-22T10:59:16.036852+00:00
1rnvvoc,skipped_low_upvotes,0,2026-04-22T11:29:58.343407+00:00
1rkpctg,queued,69,2026-04-22T11:30:29.272529+00:00
1rpa5t8,queued,21,2026-04-22T11:29:42.095323+00:00
1sa2bju,queued,102,2026-04-22T10:59:50.591868+00:00
1rza6k3,queued,23,2026-04-22T11:27:56.801747+00:00
