Color Name,Credits,R;G;B Dec,RGB Hex,CSS Hex,BG/FG color sample
Grey,N,84;84;84,545454,,### SAMPLE ###
"Grey, Silver",V,192;192;192,C0C0C0,,### SAMPLE ###
grey,X,190;190;190,BEBEBE,,### SAMPLE ###
LightGray,X,211;211;211,D3D3D3,,### SAMPLE ###
LightSlateGrey,X,119;136;153,778899,789,### SAMPLE ###
SlateGray,X,112;128;144,708090,,### SAMPLE ###
SlateGray1,X,198;226;255,C6E2FF,,### SAMPLE ###
SlateGray2,X,185;211;238,B9D3EE,,### SAMPLE ###
SlateGray3,X,159;182;205,9FB6CD,,### SAMPLE ###
SlateGray4,X,108;123;139,6C7B8B,,### SAMPLE ###
black,"N,V,X",0;0;0,0,0,### SAMPLE ###
grey0,X,0;0;0,0,0,### SAMPLE ###
grey1,X,3;3;3,30303,,### SAMPLE ###
grey2,X,5;5;5,50505,,### SAMPLE ###
grey3,X,8;8;8,80808,,### SAMPLE ###
grey4,X,10;10;10,0A0A0A,,### SAMPLE ###
grey5,X,13;13;13,0D0D0D,,### SAMPLE ###
grey6,X,15;15;15,0F0F0F,,### SAMPLE ###
grey7,X,18;18;18,121212,,### SAMPLE ###
grey8,X,20;20;20,141414,,### SAMPLE ###
grey9,X,23;23;23,171717,,### SAMPLE ###
grey10,X,26;26;26,1A1A1A,,### SAMPLE ###
grey11,X,28;28;28,1C1C1C,,### SAMPLE ###
grey12,X,31;31;31,1F1F1F,,### SAMPLE ###
grey13,X,33;33;33,212121,,### SAMPLE ###
,,34;34;34,222222,222,### SAMPLE ###
grey14,X,36;36;36,242424,,### SAMPLE ###
grey15,X,38;38;38,262626,,### SAMPLE ###
grey16,X,41;41;41,292929,,### SAMPLE ###
grey17,X,43;43;43,2B2B2B,,### SAMPLE ###
grey18,X,46;46;46,2E2E2E,,### SAMPLE ###
grey19,X,48;48;48,303030,,### SAMPLE ###
grey20,X,51;51;51,333333,333,### SAMPLE ###
grey21,X,54;54;54,363636,,### SAMPLE ###
grey22,X,56;56;56,383838,,### SAMPLE ###
grey23,X,59;59;59,3B3B3B,,### SAMPLE ###
grey24,X,61;61;61,3D3D3D,,### SAMPLE ###
