Weight,Word
270,NEW YORK
186,HOUSTON
165,CHICAGO
162,LOS ANGELES
137,MIAMI
134,SEATTLE
130,WASHINGTON
130,SAN FRANCISCO
129,MINNEAPOLIS
126,DALLAS
122,AUSTIN
121,BROOKLYN
118,COLUMBUS
116,ATLANTA
115,DENVER
114,SAN ANTONIO
112,PHOENIX
111,SAN DIEGO
111,TAMPA
110,SAINT LOUIS
110,PHILADELPHIA
110,LAS VEGAS
109,PORTLAND
108,CHARLOTTE
107,INDIANAPOLIS
106,COLUMBIA
105,JACKSONVILLE
103,CLEVELAND
103,ORLANDO
102,OMAHA
100,CINCINNATI
99,SPRINGFIELD
99,ALBUQUERQUE
98,LOUISVILLE
98,IRVINE
98,HONOLULU
98,NASHVILLE
97,FORT WORTH
95,BIRMINGHAM
95,BATON ROUGE
95,OKLAHOMA CITY
95,WILMINGTON
95,RALEIGH
94,SCOTTSDALE
94,BOSTON
94,BALTIMORE
93,SALT LAKE CITY
93,ROCHESTER
92,SAINT PAUL
92,KANSAS CITY
92,SAN JOSE
92,NEWARK
91,FRESNO
91,GRAND RAPIDS
91,TUCSON
91,SACRAMENTO
90,LEXINGTON
90,TULSA
89,TROY
89,PITTSBURGH
89,RICHMOND
88,JACKSON
88,WICHITA
88,DAYTON
88,FORT LAUDERDALE
88,KNOXVILLE
88,NEW ORLEANS
87,NAPLES
87,MEMPHIS
87,MESA
87,SALEM
87,FORT MYERS
86,GREENSBORO
86,LAFAYETTE
86,LAKEWOOD
86,TACOMA
86,BRONX
86,SAN JUAN
86,AUBURN
86,VIRGINIA BEACH
86,SPRING
86,RIVERSIDE
85,SIOUX FALLS
85,ARLINGTON
85,AURORA
85,BUFFALO
85,NEWPORT BEACH
85,PLANO
85,ALEXANDRIA
85,LANCASTER
85,COLORADO SPRINGS
84,FAIRFIELD
84,CARLSBAD
84,BLOOMINGTON
84,MARIETTA
84,BURLINGTON
84,SYRACUSE
84,CHARLOTTESVILLE
84,CHARLESTON
84,CORONA
84,CANTON
84,ANAHEIM
84,CHANDLER
83,MADISON
83,TEMPE
83,SANTA ANA
83,CONCORD
83,SAINT PETERSBURG
83,VANCOUVER
83,FORT WAYNE
83,GREENVILLE
83,HENDERSON
83,SHREVEPORT
83,LAUREL
82,CHESTERFIELD
82,EL PASO
82,BELLEVUE
82,PASADENA
82,TALLAHASSEE
82,SANTA CLARA
82,PENSACOLA
82,SARASOTA
82,BRENTWOOD
82,WESTMINSTER
82,FRANKLIN
82,FREDERICKSBURG
82,LONG BEACH
82,FARMINGTON
82,ROSEVILLE
82,MONTGOMERY
82,ROCKVILLE
82,FREMONT
82,BAKERSFIELD
81,HOLLYWOOD
81,ALBANY
81,BOCA RATON
81,SANTA MARIA
81,GAINESVILLE
81,MANCHESTER
81,BEVERLY HILLS
81,MEDFORD
81,MILWAUKEE
81,WEST PALM BEACH
81,SPOKANE
81,BRADENTON
80,STAMFORD
80,DECATUR
80,FARGO
80,HUDSON
80,MCALLEN
80,CHATTANOOGA
80,RANCHO CUCAMONGA
80,DETROIT
80,OVERLAND PARK
80,ASHLAND
80,NORFOLK
80,MONROE
80,LUBBOCK
80,IRVING
80,MYRTLE BEACH
80,METAIRIE
80,STERLING
80,EDMOND
80,HARRISBURG
80,SAVANNAH
80,POMPANO BEACH
80,MIDLOTHIAN
80,HOUMA
80,WINSTON SALEM
80,WEST CHESTER
80,CEDAR RAPIDS
80,ONTARIO
80,COSTA MESA
80,HENDERSONVILLE
79,SKOKIE
79,MIDLAND
79,CITY OF INDUSTRY
79,ENGLEWOOD
79,DULUTH
79,BURBANK
79,MC LEAN
79,RENO
79,ERIE
79,LITTLETON
79,HAYWARD
79,CYPRESS
79,GERMANTOWN
79,FLORENCE
79,AVON
79,ORANGE
79,SALINAS
79,SOUTHFIELD
79,NAPA
79,LIVONIA
79,DORAL
79,DES MOINES
79,LINCOLN
79,ELGIN
79,ALPHARETTA
79,OAKLAND
78,HACKENSACK
78,ATHENS
78,ROCKFORD
78,SANTA BARBARA
78,MOUNT VERNON
78,RICHARDSON
78,CHANTILLY
78,SOUTH BEND
78,TRAVERSE CITY
78,GLENDALE
78,MALVERN
78,TOLEDO
78,BOISE
78,CHESAPEAKE
78,MOBILE
78,LOVELAND
78,GOLDEN
78,IDAHO FALLS
78,WARREN
78,ELKHART
78,FRISCO
78,FAIRFAX
78,MOUNT PLEASANT
78,LAWRENCE
78,TYLER
78,FAYETTEVILLE
78,BEDFORD
78,SUWANEE
78,CORPUS CHRISTI
78,MILFORD
78,PLEASANTON
78,LONG ISLAND CITY
78,ESCONDIDO
77,ANCHORAGE
77,CORAL GABLES
77,VAN NUYS
77,BELLINGHAM
77,HANOVER
77,CLOVIS
77,NORTH LAS VEGAS
77,BILLINGS
77,FARMINGDALE
77,APPLETON
77,FREDERICK
77,SOMERSET
77,WALNUT CREEK
77,PORTSMOUTH
77,PRINCETON
77,LONGVIEW
77,GILBERT
77,RONKONKOMA
77,VENTURA
77,LITTLE ROCK
77,PALO ALTO
77,GARDEN CITY
77,PLYMOUTH
77,SAN LEANDRO
77,AMARILLO
77,ROSWELL
77,WEST DES MOINES
77,NORMAN
77,TERRE HAUTE
77,COVINGTON
77,YORK
77,PORTAGE
77,ADDISON
77,SAN MATEO
77,EDISON
77,KALAMAZOO
77,NORWALK
77,HARTFORD
77,DUBLIN
77,STATEN ISLAND
77,SPARKS
77,BINGHAM FARMS
77,SUNNYVALE
77,ODESSA
77,BOULDER
77,DURHAM
77,SAINT CLOUD
76,LIMA
76,HUNTINGTON BEACH
76,REDDING
76,SPRINGDALE
76,LANSING
76,DOWNERS GROVE
76,STUART
76,OXFORD
76,CENTENNIAL
76,BREA
76,JAMESTOWN
76,CARROLLTON
76,GRAND FORKS
76,NORTHBROOK
76,CONROE
76,BEAUMONT
76,READING
76,NORCROSS
76,NORTH HOLLYWOOD
76,PASSAIC
76,SUGAR LAND
76,SAN RAMON
76,SAN RAFAEL
76,FRANKFORT
76,ALLEN
76,CAMBRIDGE
76,MOORESVILLE
76,FORT COLLINS
76,ABILENE
76,UTICA
76,GARDENA
76,SANTA MONICA
76,HIALEAH
76,CHELMSFORD
76,VICTORIA
76,ELIZABETHTOWN
76,MIAMI LAKES
76,MISSION
76,FORT SMITH
76,LEBANON
76,DELRAY BEACH
76,CLINTON
76,POMONA
76,HUNTSVILLE
76,RIDGELAND
76,REDMOND
76,CORDOVA
76,ANN ARBOR
76,MANASSAS
76,RIDGEFIELD
76,CHULA VISTA
76,WOBURN
76,EVANSTON
76,BRIDGEPORT
76,SANTA FE
76,KENT
76,ANNAPOLIS
76,MELVILLE
76,WINCHESTER
76,PEORIA
76,MOUNTAIN VIEW
76,BROCKTON
76,EL CAJON
76,FORT PIERCE
76,EASTON
76,PALM BEACH GARDENS
75,AKRON
75,CHATSWORTH
75,GRAPEVINE
75,OCALA
75,WATERTOWN
75,AVONDALE
75,PEACHTREE CITY
75,PROVIDENCE
75,HINSDALE
75,HICKORY
75,MODESTO
75,BOZEMAN
75,OCEANSIDE
75,OGDEN
75,NORTH HAVEN
75,NEW HAVEN
75,BELMONT
75,BENSALEM
75,LIVERMORE
75,DOVER
75,SANTA ROSA
75,WAUKESHA
75,AUGUSTA
75,EVANSVILLE
75,GREEN BAY
75,ENFIELD
75,SIOUX CITY
75,CLIFTON
75,BELTSVILLE
75,REDLANDS
75,HAMDEN
75,HILLSBORO
75,FORT MILL
75,HAGERSTOWN
