Weight,Word
270,NEW YORK
203,HOUSTON
168,CHICAGO
154,LOS ANGELES
144,MIAMI
139,DALLAS
133,PHOENIX
132,DENVER
129,WASHINGTON
127,BROOKLYN
125,AUSTIN
122,MINNEAPOLIS
121,ATLANTA
120,SAN FRANCISCO
119,PORTLAND
113,SAINT LOUIS
113,LAS VEGAS
113,SAN DIEGO
112,SEATTLE
111,COLUMBUS
106,SALT LAKE CITY
105,ORLANDO
104,BOSTON
104,INDIANAPOLIS
103,CHARLOTTE
103,TAMPA
103,CLEVELAND
102,CINCINNATI
102,JACKSONVILLE
102,PITTSBURGH
101,SAN JOSE
100,SAN ANTONIO
99,ROCHESTER
98,LOUISVILLE
98,FORT LAUDERDALE
96,PHILADELPHIA
96,SACRAMENTO
95,KANSAS CITY
95,OKLAHOMA CITY
95,HONOLULU
95,COLORADO SPRINGS
94,MADISON
94,FRESNO
94,SPRINGFIELD
94,NEW ORLEANS
94,MEMPHIS
93,SANTA ANA
93,BIRMINGHAM
93,LEXINGTON
93,SAINT PAUL
92,GREENVILLE
92,OMAHA
92,OAKLAND
91,NASHVILLE
91,ALBUQUERQUE
91,ANAHEIM
91,KNOXVILLE
90,FORT WORTH
90,RALEIGH
90,IRVINE
90,SCOTTSDALE
90,COLUMBIA
89,AURORA
89,TULSA
89,IRVING
88,VANCOUVER
88,LAKEWOOD
88,PLANO
88,SPRING
88,ALEXANDRIA
87,PASADENA
87,SAVANNAH
87,BALTIMORE
87,JACKSON
87,LINCOLN
87,MARIETTA
87,NEWARK
86,LEBANON
86,WILMINGTON
86,SALEM
86,ENGLEWOOD
86,BAKERSFIELD
86,NORFOLK
86,DAYTON
85,ALPHARETTA
85,CHATTANOOGA
85,SPOKANE
85,LAFAYETTE
85,BRONX
85,CANTON
85,BUFFALO
84,BOULDER
84,BOCA RATON
84,RICHMOND
83,WICHITA
83,MILWAUKEE
83,FORT MYERS
83,FORT WAYNE
83,ALBANY
83,BLOOMINGTON
83,SHREVEPORT
83,SANTA ROSA
83,ARLINGTON
83,HOLLYWOOD
83,RENO
83,HENDERSON
83,ROCKVILLE
83,ODESSA
83,BATON ROUGE
83,AUBURN
83,GAINESVILLE
83,NAPLES
83,HARTFORD
83,BELLEVUE
82,VIRGINIA BEACH
82,CEDAR RAPIDS
82,SIOUX FALLS
82,FREDERICK
82,DETROIT
82,LUBBOCK
82,CITY OF INDUSTRY
82,EDISON
82,GRAND RAPIDS
82,LITTLE ROCK
81,BURLINGTON
81,STOCKTON
81,HAYWARD
81,EL PASO
81,WEST PALM BEACH
81,SAINT CHARLES
81,ORANGE
81,STATEN ISLAND
81,TUCSON
81,AKRON
81,WINSTON SALEM
81,MIDLAND
81,MILFORD
81,SANTA MONICA
81,NAPERVILLE
81,MELBOURNE
81,GREENSBORO
81,CHICO
81,LONG ISLAND CITY
81,TACOMA
81,SARASOTA
81,HUNTINGTON BEACH
